Q4687007	ÉACÉES [sé], fêtes que l'on célébrait dans l'île d'Egine, en l'honneur d'Eaque, fils de Jupiter.
Q107263906	Éloquence de la chaire (Essai sur l'), ouvrage du cardinal Maury ; livre de critique, bien composé, bien écrit, aussi utile qu'intéressant (1810).
Q274784	ELORN, fleuve côtier de France, en Bretagne, né dans la montagne d'Arrée ; se jette dans la rade de Brest. 65 kil.
Q26881	ELSENEUR ou HELSINGŒR, v. du Danemark (Seeland), sur le Sund ; 13.900 h. Constructions navales. C'est à Elseneur que Shakspeare place l'action de sa tragédie d'Hamlet.
Q44729	ELSTER [stèr], nom de deux rivières d'Allemagne : 1° Elster Blanche, riv. de Saxe, qui se jette dans la Saale et arrose Leipzig ; 195 kil. Le prince Poniatowski s'y noya après la bataille de Leipzig (1813) : 2° Elster Noire, rivière du roy. de Saxe, affluent de l'Elbe ; 175 kil.
Q243849	ELVAS [vâss], v. du Portugal (prov. d'Alemtejo) ; 14.000 h. Place forte. La ville est entourée d'orangers et d'oliviers.
Q69601	ELVEN (vin), ch.-l. de c. (Morbihan), arr. de Vannes ; 3.400 h. Ch. de f. Orl. Magnifique donjon octogonal dit tour d'Elven, du château de Largouët (xive s.).
Q2302910	ELVEND [vènd'], haute montagne de la Perse occidentale. 3.914 m. Sources de pétrole.
Q29261517	Elvire, nom qui revient fréquemment sous la plume de Lamartine, dans ses Méditations et ses Harmonies. C'est la femme aimée à laquelle le poète adresse ses chants les plus inspirés.
Q188190	Élysée (palais de l'), célèbre résidence, située à l'angle de la rue du Faubourg-Saint-Honoré et de l'avenue de Marigny. Construit en 1718 par Molet pour le comte d'Evreux, ce palais servit successivement de résidence à Mme de Pompadour, à son frère, le marquis de Marigny, aux ambassadeurs extraordinaires, au financier Beaujon (1773) et à la duchesse de Bourbon (1790). Devenu après la Restauration propriété de la liste civile, il prit en décembre 1848 le nom d'Hôtel de la présidence. C'est à l'Elysée que fut tramé le coup d'Etat de décembre 1851. Il a servi pendant l'Exposition universelle de 1867 de résidence aux souverains étrangers, et il est actuellement affecté au président de la République.
Q157128	Élysée. Myth. L'Elysée (ou les Champs Elysées) était le séjour des ombres vertueuses, le paradis des Grecs et des Romains. Virgile y conduit Enée dans le VIe livre de son poème et en fait une magnifique description. Fénelon en a aussi tracé un touchant tableau dans son Télémaque : « Là, dit-il, plus de douleurs, plus de vieillesse ; les ondes du Léthé y faisaient oublier tous les maux de la vie ; on conservait éternellement l'âge où l'on avait été le plus heureux. Aux biens physiques se joignait l'absence des maux de l'âme. L'infortuné qui n'avait été que faible, dont le cœur avait gémi sur ses égarements, n'en était pas banni sans retour ; après avoir souffert une punition juste et nécessaire, il était rendu à la tranquillité et au bonheur.
Q602323	ELZÉVIR ou ELZEVIER, nom d'une famille illustre d'imprimeurs établis à Leyde, à La Haye, à Utrecht, à Amsterdam au xvie et au xviie siècle. Le plus ancien est Louis Elzévir (1540-1617).
Q3588164	Émaux et Camées, recueil de poésies de Théophile Gautier. Livre d'art pur, d'une perfection nette, fine et un peu sèche.
Q3348063	EMBABEH [èm'-ba-bè], village de la Basse-Egypte sur la r. g. du Nil, en face Boulaq, près duquel fut livrée la bataille dite des Pyramides (21 juillet 1798).
Q531329	Embarquement pour Cythère (l'), chef-d'œuvre de Watteau, au Louvre, son tableau de réception à l'Académie, brillante fantaisie, du coloris le plus riche et le plus harmonieux (1717).
Q207610	EMBRUN [an], ch.-l. d'arr. (Hautes-Alpes), sur la Durance ; 3.900 h. (Embrunois). Patrie d'Isoard. L'arr. a 5 cant., 36 comm., 25.000 h.
Q4174	EMDEN [èm'-dèn'], v. de Prusse (Hanovre), port à l'embouchure de l'Ems ; 14.000 h.
Q86953	ÉMERIC [rik], roi de Hongrie de 1196 à 1204.
Q3495948	ÉMERIC-DAVID (Toussaint-Bernard), archéologue français, né à Aix (1755-1839).
Q23807457	ÉMERIGON (Balthazar), jurisconsulte français, né à Aix, auteur d'un célèbre traité des assurances et des contrats à la grosse (1725-1785).
Q48226	EMERSON [mèr-son'] (Ralph-Waldo), philosophe américain, né à Boston, auteur d'un livre célèbre sur les Représentants de l'humanité (1803-1882).
Q2903694	ÉMERY (Michel Particelli, dit d'), Italien nommé surintendant des finances par Mazarin ; il se rendit impopulaire par la création d'édits bursaux et prépara ainsi le soulèvement de la Fronde ; m. en 1650.
Q664186	ÉMERY (Jacques-André), théologien français, né à Gex (1732-1811).
Q131301	ÉMÈSE, v. de Syrie, sur l'Oronte, auj. en ruines. Patrie d'Héliogabale.
Q2618583	Émigration. On désigne sous le nom d'émigration la fuite et le séjour à l'étranger de l'aristocratie française ou plus exactement de tous les partisans de l'ancien régime. Pour venir à bout de la Révolution, les émigrés appelèrent à leur secours les armées étrangères et les déchaînèrent sur la patrie : de là les mesures prises à titre de représailles par la Législative et la Convention.
Q29094848	ÉMILE (saint), martyrisé en Afrique en 205. Fête le 22 mai.
Q913599	Émile ou De l'Éducation, roman philosophique de J.-J. Rousseau (1762), où l'auteur prétend enseigner comment on doit former les hommes. Il part de ce principe que « l'homme est naturellement bon », et que, l'éducation donnée par la société étant mauvaise, il convient d'établir « une éducation négative comme la meilleure ou plutôt comme la seule bonne ». En dépit de certains paradoxes, le livre n'en eut pas moins une influence salutaire sur l'éducation de son temps.
Q1135779	ÉMILIE, division territoriale d'Italie, capit. Plaisance, formée des anciens duchés de Parme et de Modène, ainsi que des Romagnes ; 2.452.000 h.
Q177980	ÉMILIEN [li-in], empereur romain, né en Mauritanie vers 206, proclamé en 253, m. en 254.
Q20540727	Éminence grise (l'), tableau de Gérome (1874). L'Eminence grise (le Père Joseph), descend un escalier, salué par les courtisans ; tableau fin, spirituel.
Q60271	EMIN-PACHA (Edouard Schnitzev, dit Mehmet), explorateur et administrateur égyptien, né à Neisse (Silésie) en 1840, fut assassiné par un Arabe en 1892.
Q191231	EMMANUEL LE FORTUNÉ, roi de Portugal de 1495 à 1521.
Q76508	EMMANUEL-PHILIBERT, duc de Savoie, dit Tête de fer. Il s'attacha à Charles-Quint et gagna, en 1557, la bataille de Saint-Quentin sur les Français (1528-1580). Il avait épousé Marguerite de France, fille de François Ier.
Q165887	EMMAÜS [uss], bourg de Judée, près de Jérusalem, où J.-C. apparut pour la première fois à ses disciples, après sa résurrection.
Q11091772	Emmaüs (Disciples ou Pèlerins d') ou la Cène à Emmaüs, tableau du Titien (Louvre) ; — de Paul Véronèse (Louvre) ; ces deux célèbres coloristes ont lutté de vigueur et d'éclat ; — de Rambrandt (Louvre), admirable composition qui date de 1648.
Q684648	EMMENTHAL [è-mèn'], vallée suisse (canton de Berne). Fromages renommés.
Q3166751	EMMERY (Claude), juriconsulte et homme politique français, né à Metz (1742-1823).
Q17491208	Emmurés de Carcassonne (Délivrance des), tableau de J.-P. Laurens, musée du Luxembourg (1879) ; toile sobre et forte représentant un épisode de l'Inquisition albigeoise au xive siècle.
Q794779	EMPECINADO [èm'] (Juan Martin Diaz, dit el), chef de guérillas à l'époque de l'occupation de l'Espagne par les Français (1775-1823).
Q83375	EMPÉDOCLE philosophe et médecin d'Agrigente (ve siècle av. J.-C.). Il avait des connaissances très étendues en philosophie, en médecine, en physique, ce qui le fit considérer par ses contemporains comme versé dans la magie. On assure qu'il se précipita dans la bouche brûlante de l'Etna, afin que, ne retrouvant aucun vestige de son corps, ses contemporains le crussent remonté au ciel. Mais le perfide volcan, après avoir dévoré Empédocle, respecta ses sandales et les vomit intactes, comme pour révéler la supercherie d'un orgueilleux suicide.
Q48349	Empire, nom commun à plusieurs grands Etats : Empire romain, depuis Auguste jusqu'à la mort de Théodose (29 av. J.-C.-395 ap. J.-C.), capit. Rome. Empire d'Orient, appelé ensuite Bas-Empire, Empire grec ou de Constantinople, partie de l'empire romain qui eut pour capit. Constantinople (395-1453). Empire d'Occident, partie de l'empire romain qui conserva Rome pour capitale après la mort de Théodose (395-476). Saint-Empire ou second Empire d'Occident, fondé par Charlemagne et continué jusqu'à Louis l'Enfant (800-911). Empire latin, Etat fondé par les Croisés à Constantinople et qui vécut de 1204 à 1261. Empire d'Allemagne, fondé par Othon le Grand (962), aboli en 1806 par l'abdication de François II, empereur d'Autriche, et rétabli en faveur du roi de de Prusse, Guillaume Ier, le 18 janvier 1871. Empire français, fondé par Napoléon Ier en 1804, détruit en 1815, rétabli en 1852 par Napoléon III et renversé de nouveau le 4 septembre 1870. Empire des Indes, créé en 1876 et réuni à la couronne d'Angleterre.
Q2824914	EMPIS [an-piss] (Adolphe Simonis dit), auteur dramatique français, né à Paris (1795-1868).
Q1229367	EMPORIÆ [in-po-ri-é] ou EMPORIUM [in-po-ri-om'] ancienne ville de l'Espagne, auj. Ampurias. Au sud du cap Creux.
Q1648	EMS [èmss], fleuve d'Allemagne, affl. de la mer du Nord ; il arrose la Westphalie et le Hanovre ; 378 kil.
Q490670	EMS, bourg de Prusse, près Coblentz ; 6.400 h. Eaux thermales.
Q1521458	EMYRNE ou IMERINA, autre nom de la région de Tananarive, plateau élevé et salubre, dans la colonie française de Madagascar.
Q3263611	ÉNAULT [nô] (Louis), romancier français, né à Isigny, auteur de nombreux romans d'un style soigné et d'un réel intérêt (1824-1900).
Q845112	ENCELADE [an], le plus célèbre des Titans qui se révoltèrent contre Jupiter. Arrêté dans sa fuite en Sicile, il fut foudroyé et enseveli par Jupiter sous l'Etna. C'est lui dont l'haleine embrasée exhale les feux que lance le volcan, et qui ébranle la montagne lorsqu'il tente de se retourner. (Myth.) En littérature, on fait allusion aux convulsions du géant pour caractériser les efforts impuissants de quelqu'un qui tente de changer un ordre de choses établi, surtout en parlant des bouleversements politiques.
Q57294	ENCKE [èn'-ké] (Jean-François), astronome allemand, né à Hambourg (1791-1865).
Q447	Encyclopédie (l'), immense publication dirigée par d'Alembert et Diderot, monument scientifique, qui fut une machine de guerre mise au service des doctrines philosophiques du xviiie siècle (1751-1772). Le Discours préliminaire, rédigé par d'Alembert, est un admirable tableau synthétique des connaissances humaines à la veille de la Révolution, et constitue, à ce point de vue, l'œuvre capitale de la philosophie du xviiie siècle.
Q455	Encyclopédie Britannique, publiée à Edimbourg, en 24 volumes (9e éd., de 1875 à 1889), où chaque article forme un véritable traité.
Q237227	Encyclopédies allemandes. Nous citerons parmi les principales : le Konversations-Lexikon, de Brockhaus, en 17 volumes ; et le Konversations-Lexikon, de Meyer, en 17 volumes.
Q1015825	Encyclopédie (La Grande), vaste recueil (31 vol.), publié de 1885 à 1902 et qui se recommande par l'extension donnée aux diverses matières encyclopédiques.
Q744738	Encyclopédistes. On désigne ainsi les savants qui rédigèrent l'Encyclopédie : d'Alembert, Diderot, Voltaire, Montesquieu, Rousseau, etc.
Q431722	ENDOR, v. de Palestine, séjour d'une pythonisse célèbre. Elle fut consultée par Saül la veille de la bataille de Gelboé et évoqua l'ombre de Samuel, qui prédit au roi sa défaite (Bible).
Q272047	ENDYMION, berger qui, admis par Jupiter dans l'Olympe, en fut chassé et condamné à un sommeil éternel, pour avoir voulu se faire aimer de Junon.
Q17629542	Endymion endormi, statue de Canova, figure pleine d'abandon et de grâce.
Q19753132	Endymion (le sommeil d'), tableau de Girodet (Louvre), remarquable par la grâce de l'invention, le choix des formes, l'effet pittoresque de l'ensemble ; — tableau du Guerchin, musée des Offices.
Q82732	ÉNÉE, prince troyen, dont Virgile a fait le héros de son Enéide, fils de Vénus et d'Anchise ; il combattit vaillamment les Grecs pendant le siège de Troie et, après la prise de la ville, il aborda en Italie, dans le Latium. De là, la tradition d'après laquelle les Romains s'attribuaient une origine troyenne. — Deux circonstances de la vie d'Enée ont surtout marqué dans la littérature et sont devenues la source d'allusions souvent ironiques : 1° Enée fuyant devant Troie en portant son père sur ses épaules ; 2° Enée perdant sa femme Créuse pendant sa fuite à travers les rues de Troie.
Q21162608	Énée portant Anchise, groupe de Lepautre (jardin des Tuileries) ; — excellent tableau de Carle Vanloo (Louvre).
Q60220	Énéide (l'), célèbre poème épique de Virgile, en douze chants, sur un sujet supposé national ; imitation merveilleusement habile de l'Iliade et de l'Odyssée ; on y admire l'art de rendre les passions, l'exquise délicatesse des vers, la perfection du style de l'épopée. Des défauts réels dans le plan et dans la peinture des caractères y sont rachetés par le fini de l'exécution (ier siècle av. J.-C.).
Q3560622	Énéide travestie (l'), parodie en huit livres du poème de Virgile, par Scarron ; œuvre d'un genre faux, où beaucoup d'esprit a été dépensé presque en pure perte (xviie s.).
Q262135	Enfant prodigue, personnage d'une des plus touchantes paraboles de l'Evangile.
Q512755	Enfant prodigue (l'), tableau de Rembrandt, musée de l'Ermitage ; — de Teniers (Louvre).
Q107263974	Enfantement de la Vierge (l'), poème latin de Sannazar, remarquable par l'élégance et la pureté du style (xvie siècle).
Q809420	ENFANTIN (Barthélemy-Prosper), dit le Père Enfantin, né à Paris, ingénieur français, l'un des fondateurs du saint-simonisme (1796-1864).
Q210531	ENFIELD [èn'-fîld'], ville d'Angleterre (Middlesex) ; 30.000 h. Manufacture d'armes.
Q22883	ENGADINE, vallée de la Suisse (Grisons), arrosée par l'Inn ; sites très pittoresques.
Q71442	ENGEL [èn'-ghèl'], (Jean-Jacques), écrivain allemand (1741-1802).
Q447046	ENGELBREKT, patriote suédois, m. en 1436 ; il lutta énergiquement contre la domination danoise.
Q943172	ENGELMANN [èn'-ghèl] (Godefroy), lithographe, né à Mulhouse. Il introduisit en France les procédés de lithographie inventés par Senefelder (1788-1839).
Q666238	ENGHIEN [an-ghin], v. de Belgique (Hainaut), arr. de Mons ; 4.600 h. Dentelles, tissus. Magnifique château.
Q222606	ENGHIEN (duc d'), né à Chantilly, fils de Louis-Henri-Joseph, prince de Condé. Par ordre de Bonaparte, il fut enlevé en territoire allemand, amené à Paris et fusillé dans les fossés du château de Vincennes (1772-1804).
Q64652136	Enghien (la mort du duc d'), tableau de J.-P. Laurens. Le jeune prince, à la lumière d'une lanterne, entend lecture, dans les fossés du château, de son arrêt de mort. Effet sinistre bien rendu (1872).
Q255105	ENGHIEN-LES-BAINS, comm. de Seine-et-Oise (arr. de Pontoise) ; 4.000 h. Lac, eaux sulfureuses.
Q9918	ENKHUYSEN [èn'-kui-zèn'], v. de la Hollande septentrionale ; 6.500 h. Patrie de Paul Potter.
Q210711	Enlèvement au sérail (l'), opéra-comique allemand en trois actes, musique de Mozart (1782) ; traduction française et réduction de l'opéra en deux actes, par Prosper Pascal (1859). Œuvre pleine de fraîcheur et d'élégance.
Q105556628	Enlèvement de Proserpine (l'), poème épique de Claudien, en trois chants, qui renferme de grandes beautés de détail (ive siècle ap. J.-C.).
Q18572425	Enlèvement de Déjanire (l'), tableau du Guide (Louvre) ; peinture savante et vigoureuse.
Q16590370	Enlèvement d'Europe (l'), chef-d'œuvre de Paul Véronèse (palais ducal, de Venise) ; tableau de chevalet, d'une composition agréable et très animée et du coloris le plus brillant ; il a été apporté à Paris à l'époque de la conquête de l'Italie ; le musée du Capitole en a une belle répétition que quelques connaisseurs croient même être l'original.
Q18572427	Enlèvement d'Hélène (l'), chef-d'œuvre du Guide (Louvre). Ce tableau a été célébré en vers, en prose et dans plusieurs langues par une foule d'écrivains contemporains du Guide.
Q1156747	Ennéades ou Neuvaines, de Plotin, recueil de 54 livres ou traités formant une sorte d'encyclopédie philosophique et réunis par Porphyre, son disciple. La doctrine est un éclectisme mystique, dérivant du platonisme, pour aboutir au panthéisme (iiie siècle.).
Q333441	ENNEZAT [za], ch.-l. de c. (Puy-de-Dôme), arr. de Riom, sur l'Embenne ; 1.250 h.
Q209128	ENNIS [niss], v. d'Irlande, ch.-l. du comté de Clare, sur le Fergus ; 5.400 h.
Q990109	ENNISKILLEN [è-nis-ki-lèn'], v. d'Irlande, ch.-l. du comté de Fermanagh, sur le lac Erne ; 5.600 h. Grains, coutellerie.
Q47130	ENNIUS [uss], un des plus anciens poètes latins, né en 240 av. J.-C. Grec de naissance, mort en 169. Son style était dur, incorrect, encore à moitié barbare. A cause de ce défaut d'élégance, racheté par la force de l'expression, les Latins avaient formulé ce proverbe : De stercore Ennii, « Du fumier d'Ennius (tirer) », qui s'appliquait à Virgile, lequel ne dédaignait pas de faire des emprunts au vieux poète et savait trouver des perles dans le fumier d'Ennius. Cette expression est devenue proverbiale dans notre langue et s'emploie presque toujours sous sa forme française, surtout pour exprimer que l'on trouve quelquefois d'excellentes choses dans de vieux auteurs aujourd'hui à peine connus.
Q465322	ENNODIUS [uss], écrivain ecclésiastique, né en Gaule, un des Pères de l'Eglise latine (473-521).
Q213027	ÉNOCH (nok), nom de deux personnages de l'Ancien Testament, l'un fils de Caïn, l'autre père de Mathusalem.
Q1343501	Énoch Arden, poème anglais d'A. Tennyson, une des tentatives les plus heureuses que l'on ait faites pour transporter la réalité de la vie familière dans le domaine de la poésie.
Q610751	ENOS, v. de la Turquie d'Europe, sur le golfe de ce nom, et sur le delta de la Maritza ; 7.000 h.
Q4776592	ENRIQUEZ-GOMEZ [èn'-ri-kèz'-gho-mèz'] (Antoine), poète espagnol, né à Ségovie. On lui doit un grand nombre de comédies remarquables (xviie sièc.).
Q260089	ENS ou ENNS [èns], v. d'Autriche, sur la r. g. de l'Ens (ou Enns), affl. du Danube (r. dr.) ; 4.600 h.
Q191321	ENSENADA [èn-sé] (Zénon de la), homme d'Etat espagnol (1702-1781).
Q22438	ENSHEIM [èns'-ha-im'], village près Strasbourg ; 1.700 h. ; victoire de Turenne sur les impériaux (1674).
Q455645	ENSISHEIM [èn'-siss-ha-im'], anc. ch.-l. de c. (Haut-Rhin), sur l'Ill ; 2.700 h. cédé à l'Allemagne.
Q482438	Entendement humain (Essai de l'), par Locke (1690). L'auteur rejette les idées innées et recherche la seule cause des idées dans les sensations et la réflexion.
Q2720221	Entendement humain (Nouveaux essais sur l'), par Leibniz (1704) ; c'est une critique du sensualisme de Locke.
Q107264104	Entendement humain (Recherches sur l'), par Thomas Reid (1763). L'auteur se prononce pour l'empirisme et la restriction du domaine de la psychologie.
Q540488	Enterrement à Ornans (l'), fameux tableau de G. Courbet (1851) ; une des œuvres les plus émouvantes de ce peintre, et qui fut le point de départ d'un mouvement réaliste.
Q310881	ENTOUF, nom de six rois de l'anc. Egypte (xie dynastie).
Q78852516	ENTRAGUES (Charles de Balzac d'), gentilhomme du parti du duc de Guise, mort en 1599.
Q450395	ENTRAGUES [an-tra-ghe] (Henriette de Balzac d'), marquise de Verneuil, née à Orléans, favorite de Henri IV, après la mort de Gabrielle d'Estrées (1579-1633).
Q651581	ENTRAYGUES, ch.-l. de c. (Aveyron), arr. d'Espalion, au confluent de la Truyère et du Lot ; 1.900 h. (Entrigots).
Q550615	ENTRECASTEAUX [kas-tô] (Bruni d'), navigateur français, né à Entrecasteaux, mort pendant son voyage à la recherche de La Pérouse (1737-1793).
Q18573212	Entrée des animaux dans l'arche (l'), chef-d'œuvre du Bassan, musée royal de Madrid ; grande et belle toile, bien éclairée et du coloris le plus vigoureux ; elle fut envoyée par le Titien à Charles-Quint.
Q1257160	ENTREMONT [mon], belle vallée de la Suisse (Valais), au pied du Grand Saint-Bernard. Sites variés et très pittoresques.
Q44762	ENTRE-RIOS [oss], prov. de la Rép. Argentine ; 360.000 h. Ch.-l. Uruguay.
Q1373343	Entretiens mémorables de Socrate, ouvrage de Xénophon, exposé des principes de morale et de la méthode de Socrate ; le plus estimé des ouvrages de Xénophon (ive siècle av. J.-C.).
Q107264172	Entretiens et lettres sur l'éducation, ouvrage de Mme de Maintenon où brillent les solides et aimables qualités de son esprit et de sa raison (xviie s.).
Q107264184	Entretiens spirituels, livre de dévotion, fort goûté des âmes pieuses, par saint François de Sales (xviie siècle).
Q776279	Entretiens sur la pluralité des mondes, ouvrage de vulgarisation scientifique et philosophique, ingénieux et brillant, le principal titre littéraire de Fontenelle (1686).
Q107264196	Entretiens de Phocion, le livre le plus intéressant et le mieux écrit de Mably (1763).
Q2711853	Entretiens de Gœthe et d'Eckermann, conversations familières, recueillies par ce dernier (1832).
Q274678	ENTREVAUX [an-tre-vô], ch-.l. de c. (Basses-Alpes), arr. de Castellane, sur la r. g. du Var ; 1.650 h. Huiles, draps.
Q731374	ENVERMEU [an-vèr], ch.-l. de c. (Seine-Inférieure), arr. de Dieppe, sur l'Eaulne ; 1.500 h. Grains. Cimetière mérovingien.
Q14071	ENZ [ènts'], riv. du Wurtemberg, affluent du Neckar ; 100 kil.
Q704892	ENZIO [in] ou HANS, roi de Sardaigne, fils naturel de l'empereur Frédéric II (vers 1220-1272).
Q172549	ÉOLE, dieu des vents, fils de Jupiter et de la nymphe Ménalippe. C'est lui qui, dans la mythologie des Grecs et des Romains, déchaînait les tempêtes.
Q255325	ÉOLIDE ou ÉOLIE, ancienne contrée de l'Asie Mineure entre la Troade et l'Ionie.
Q179883	ÉOLIENNES (îles), ancien nom des îles Lipari, sur lesquelles Eole était censé régner.
Q406336	ÉOLIENS [li-in], tribu hellénique qui, chassée du Péloponèse par les Doriens, vint s'établir en Eolie (Asie Mineure).
Q406388	ÉOLOS [loss], fils d'Hellen, dans lequel les Grecs voyaient un ancêtre mythique des Eoliens.
Q715027	ÉON DE BEAUMONT [mon] (le chevalier Charles), agent politique et mystérieux aventurier français, né à Tonnerre. Il parut, habillé en femme à la cour de la tzarine Elisabeth, dont il devint la lectrice (1728-1810).
Q190436	EPAMINONDAS [dass], célèbre général thébain, né entre 420 et 410 av. J.-C., un des chefs de la démocratie de Thèbes, vainqueur des Lacédémoniens à Leuctres et à Mantinée ; m. en 363 av. J.-C. Il fut blessé mortellement dans cette dernière bataille ; mais apprenant que l'ennemi était en déroute : « Je laisse, dit-il, deux filles immortelles : Leuctres et Mantinée. »
Q860155	ÉPÉE (Charles-Michel, abbé de l'), né à Versailles. Il fonda l'institution des sourds-muets, auxquels il apprit à se faire comprendre au moyen d'un langage de signes conventionnels (1712-1789).
Q205537	ÉPERNAY [nè], ch.-l. d'arr. (Marne), sur la Marne ; 20.500 h. (Sparnaciens). Ch. de f. E. Vins mousseux. Patrie de Flodoard. Le maréchal de Biron fut tué devant Epernay en 1592. L'arrond. a 9 cant., 174 comm. et 98.000 h.
Q287148	ÉPERNON, comm. d'Eure-et-Loir (arr. de Chartres) ; 2.380 h. Grès, chaux. Patrie de Michel Chasles.
Q667104	ÉPERNON (Jean-Louis, duc d'), amiral de France, un des mignons de Henri III. C'est sur ses instances que le parlement, en 1610, donna la régence à Marie de Médicis (1554-1642). — Sa petite-fille, Anne-Louise-Christine, née en 1624, se retira encore jeune aux carmélites, où elle mourut en 1701.
Q699475	Éperons (Journée des). V. Guinegatte.
Q278930	ÉPÉUS [uss], ÉPÉOS ou ÉPÉIOS, fils de Pénopée, constructeur du fameux cheval de bois au moyen duquel l'élite des Grecs pénétra dans Troie (Myth.).
Q47611	ÉPHÈSE, anc. v. d'Ionie, sur la côte de la mer Egée, qui avait un temple de Diane mis au nombre des sept merveilles du monde et brûlé par Erostrate. Nestorius y fut condamné dans un concile. C'est aujourd'hui une petite ville de 7.000 h. (Ephésiens).
Q3589113	Éphésiaques, intéressant petit roman grec de Xénophon d'Ephèse (ive s.).
Q107264219	Éphètes, juges d'un tribunal criminel institué à Athènes, par Dracon ; ils étaient au nombre de 51. Solon restreignit leur compétence.
Q109432	Éphores, nom donné, à Sparte, à cinq magistrats électifs, établis pour contrebalancer l'autorité des rois. Ils étaient les principaux agents du gouvernement aristocratique de Sparte.
Q203251	ÉPHRAÏM [im'], deuxième fils de Joseph. Il donna son nom à l'une des douze tribus (Bible). La tribu d'Ephraïm fut très puissante au temps des Juges.
Q200608	ÉPHREM [frèm'] (saint). Père de l'Eglise, né à Nisibis (Mésopotamie), m. en 379. Fête le 9 juillet.
Q454101	ÉPICHARIS [ka-riss], femme romaine qui entra dans une conspiration contre Néron et s'étrangla pour ne pas révéler ses complices, après avoir subi les tortures les plus cruelles.
Q312410	ÉPICHARME [kar-me], poète et philosophe pythagoricien, né à Cos, m. vers 450 av. J.-C.
Q183144	ÉPICTÈTE, philosophe stoïcien du ier siècle, né à Hiéropolis (Phrygie). Il fut à Rome l'esclave d'Epaphrodite, affranchi de Néron. On raconte que son maître brutal, lui tordait un jour la jambe dans un appareil de torture : « Tu vas la casser ! » dit tranquillement Epictète, qui, sa prédiction réalisée, se contenta d'ajouter : « Ne te l'avais-je pas dit ? » Ses Entretiens furent réunis par Arrien en un corps d'ouvrage, et le même philosophe en fit un résumé connu sous le nom de Manuel d'Epictète, résumé lumineux de la doctrine stoïcienne.
Q43216	ÉPICURE, philosophe grec, né probablement à Samos, élève à Athènes de Xénocrate. Il enseignait que le plaisir est le souverain bien de l'homme, et que tous nos efforts doivent tendre à l'obtenir ; mais, loin de le faire consister dans les jouissances grossières des sens, Epicure le plaçait dans la culture de l'esprit et la pratique de la vertu. C'est donc, dit Fénelon, par une fausse interprétation de sa doctrine que l'on a pris pour un débauché un homme d'une continence exemplaire. Quoi qu'il en soit, le mot épicurien n'en est pas moins resté dans notre langue le synonyme de voluptueux, et, quand on veut parler d'un homme adonné aux jouissances de la table ou des sens, on dit : c'est un épicurien, un disciple d'Epicure. Horace disait : Epicuri de grege porcum, « Pourceau du troupeau d'Epicure. » C'est la doctrine épicurienne qui fait le fond du De natura rerum de Lucrèce (341-270 av. J.-C.).
Q233576	ÉPIDAURE [dô-re], v. de l'ancienne Argolide (Grèce), sur la côte de la mer Egée. Son oracle d'Esculape était fréquenté par les malades de toute la Grèce.
Q1218984	Épidicus [kuss], comédie de Plaute, celle qu'il préférait, et dans laquelle il a mis toute sa verve. Epidicus est un esclave dévoué au fils de son maître, une sorte de Scapin.
Q780650	ÉPIGONES, nom donné aux fils des sept chefs qui périrent devant Thèbes.
Q107264254	Épigrammes de Catulle. Le poète y a répandu à pleines mains le sel attique, la grâce ingénue, la délicatesse du sentiment et le sarcasme amer.
Q16604285	Épigrammes de Martial, remarquables par la finesse et le mordant, où il y a, comme le dit l'auteur lui-même, du bon, du médiocre ou du mauvais.
Q319406	ÉPIMÉNIDE de Gnosse, philosophe crétois du viie siècle av. J.-C. Personnage moitié historique, moitié légendaire. Il était fils d'une nymphe et avait dormi cinquante-sept ans dans une caverne ; le sommeil et le réveil d'Epiménide sont devenus l'objet de fréquentes allusions, surtout en politique.
Q41054	ÉPIMÉTHÉE, frère de Prométhée ; il épousa Pandore et eut l'imprévoyance d'ouvrir la boîte fatale, d'où tous les maux s'envolèrent sur la terre. Il ne resta au fond que l'Espérance. (Myth.)
Q1093003	ÉPINAC [nak], ch.-l. de c. (Saône-et-Loire), arr. d'Autun, sur la Drée ; 4.100 h. Ch. de f. P.-L.-M. Houille.
Q173695	ÉPINAL, ch.-l. du dép. des Vosges, à 378 kil. S.-E. de Paris, sur la Moselle ; 28.000 h. (Spinaliens). Camp retranché. Imagerie. L'arrond. a 6 cant., 127 comm., 113.600 h.
Q264254	ÉPINAY [nè] (Louise-Florence d'), femme distinguée, bienfaitrice de J.-J. Rousseau. Elle a publié des mémoires intéressants (1726-1783).
Q2825288	ÉPINAY (Adrien d'), avocat et homme politique, né à l'île Maurice ; il décida l'Angleterre à donner à sa patrie le régime libéral qu'elle réclamait ; mort à Paris (1794-1839).
Q313922	ÉPIPHANE (saint). Père et docteur de l'Eglise grecque, né en Palestine (310-403). Fête le 12 mai.
Q655381	ÉPIPHANE (saint), évêque de Pavie (438-495). Fête le 21 janvier.
Q565751	ÉPIRE, contrée de l'ancienne Grèce, au S. de la Macédoine. C'est en Epire qu'était le célèbre oracle de Dodone. (Hab. Epirotes.)
Q107264273	Épithalame de Thétis et de Pélée, le chef-d'œuvre de Catulle ; poème plus parfait sous le rapport du style que sous celui de la composition.
